% R/bohr 1Sig  1Pi  1Del  3Sig  3Pi  Axy   Azy  Bss  Byx  Bxs  Bsy  Bxd
  18.10 -1.89265570E-01 -1.73777524E-01 -2.06056042E-01 -2.18955214E-01 -2.03096487E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  18.35 -1.74191557E-01 -1.59124306E-01 -1.89059889E-01 -2.01129997E-01 -1.86739886E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  18.60 -1.60483838E-01 -1.45920818E-01 -1.73568602E-01 -1.84987481E-01 -1.71909283E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  18.85 -1.47994199E-01 -1.33983120E-01 -1.59523271E-01 -1.70355602E-01 -1.58450273E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  19.10 -1.36575333E-01 -1.23128332E-01 -1.46863867E-01 -1.57062934E-01 -1.46209023E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  19.35 -1.26115175E-01 -1.13214693E-01 -1.35486843E-01 -1.44963002E-01 -1.35053948E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  19.60 -1.16547440E-01 -1.04153857E-01 -1.25232126E-01 -1.33941732E-01 -1.24882362E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  19.85 -1.07808906E-01 -9.58610487E-02 -1.15935863E-01 -1.23887218E-01 -1.15593513E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  20.10 -9.95254724E-02 -8.79025174E-02 -1.07105628E-01 -1.14332274E-01 -1.06758800E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  20.35 -9.21997500E-02 -8.08493789E-02 -9.92271746E-02 -1.05835801E-01 -9.88950586E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  20.60 -8.55079755E-02 -7.43558855E-02 -9.19727499E-02 -9.80383453E-02 -9.16718309E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  20.85 -7.93886999E-02 -6.83755901E-02 -8.52966311E-02 -9.08828615E-02 -8.50371654E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  21.10 -7.37801132E-02 -6.28619725E-02 -7.91526911E-02 -8.43118929E-02 -7.89387218E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  21.35 -6.86201107E-02 -5.77685453E-02 -7.34943758E-02 -7.82675852E-02 -7.33237799E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  21.60 -6.38464645E-02 -5.30490464E-02 -6.82747262E-02 -7.26917717E-02 -6.81393149E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  21.85 -5.93971679E-02 -4.86577622E-02 -6.34464784E-02 -6.75261810E-02 -6.33321847E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  22.10 -5.52115379E-02 -4.45504050E-02 -5.89624334E-02 -6.27131686E-02 -5.88497920E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  22.35 -5.12496573E-02 -4.06985301E-02 -5.47810149E-02 -5.82086228E-02 -5.46517188E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  22.60 -4.74976810E-02 -3.70934593E-02 -5.08680534E-02 -5.39855852E-02 -5.07130019E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  22.85 -4.39442906E-02 -3.37287957E-02 -4.71907747E-02 -5.00188796E-02 -4.70103020E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  23.10 -4.05794684E-02 -3.05993270E-02 -4.37182598E-02 -4.62846510E-02 -4.35215180E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  23.35 -3.73950355E-02 -2.77010727E-02 -4.04227109E-02 -4.27612422E-02 -4.02266177E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  23.60 -3.43851921E-02 -2.50311484E-02 -3.72810124E-02 -3.94302521E-02 -3.71086415E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  23.85 -3.15469378E-02 -2.25873640E-02 -3.42764252E-02 -3.62776541E-02 -3.41547632E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  24.10 -2.88802570E-02 -2.03673994E-02 -3.14004271E-02 -3.32948547E-02 -3.13572916E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  24.35 -2.63895446E-02 -1.83641322E-02 -2.86652112E-02 -3.04828500E-02 -2.87175291E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  24.60 -2.40823840E-02 -1.65651407E-02 -2.61012852E-02 -2.78512224E-02 -2.62448341E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  24.85 -2.19651110E-02 -1.49579087E-02 -2.37358269E-02 -2.54105113E-02 -2.39495296E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
