11.50                30.00              -7.16366450  
12.00                30.00              -5.40237350  
12.50                30.00              -4.12917250  
13.00                30.00              -3.19517750  
13.50                30.00              -2.50037450  
14.00                30.00              -1.97701300  
14.50                30.00              -1.57868600  
15.00                30.00              -1.26984250  
16.00                30.00              -0.84401850  
17.00                30.00              -0.57583650  
18.00                30.00              -0.40256300  
19.00                30.00              -0.28715900  
20.00                30.00              -0.20873800  
21.00                30.00              -0.15441800  
22.00                30.00              -0.11606900  
23.00                30.00              -0.08803150  
24.00                30.00              -0.06844450  
25.00                30.00              -0.05260950  
4.00                 35.00              18727.81940650  
4.50                 35.00              7035.40552600  
5.00                 35.00              2362.06043600  
5.25                 35.00              1273.99906400  
5.50                 35.00              627.56175950  
5.75                 35.00              255.03227450  
6.00                 35.00              49.40440000  
6.25                 35.00              -56.66432200  
6.50                 35.00              -104.90264300  
6.75                 35.00              -120.78076950  
7.00                 35.00              -119.48874700  
7.25                 35.00              -109.90434650  
7.50                 35.00              -97.06766550  
7.75                 35.00              -83.65300550  
8.00                 35.00              -71.04184550  
8.50                 35.00              -50.03783900  
9.00                 35.00              -34.97054750  
9.50                 35.00              -24.56077100  
10.00                35.00              -17.45864850  
10.50                35.00              -12.61104100  
11.00                35.00              -9.23618450  
11.50                35.00              -6.87568050  
12.00                35.00              -5.19164950  
12.50                35.00              -3.97245500  
13.00                35.00              -3.07780550  
13.50                35.00              -2.41107900  
14.00                35.00              -1.90808500  
14.50                35.00              -1.52436450  
15.00                35.00              -1.22862050  
16.00                35.00              -0.81694900  
17.00                35.00              -0.55805350  
18.00                35.00              -0.39050550  
19.00                35.00              -0.27886550  
20.00                35.00              -0.20296000  
21.00                35.00              -0.15016900  
22.00                35.00              -0.11264250  
23.00                35.00              -0.08588000  
24.00                35.00              -0.06668150  
25.00                35.00              -0.05103250  
4.00                 40.00              16691.00943800  
4.50                 40.00              6251.15067800  
5.00                 40.00              2080.30572300  
5.25                 40.00              1111.87350250  
5.50                 40.00              538.14440700  
5.75                 40.00              208.88297800  
6.00                 40.00              28.30237300  
6.25                 40.00              -63.79404100  
6.50                 40.00              -104.67470600  
6.75                 40.00              -117.03494600  
