       7.6                  30          2.22047664                4.17
       7.5                  30          2.22047664                5.21
       7.4                  30          2.22047664               6.555
       7.3                  30          2.22047664                8.17
       7.2                  30          2.22047664              10.125
       7.1                  30          2.22047664              12.545
         7                  30          2.22047664               15.52
       6.9                  30          2.22047664              19.145
       6.8                  30          2.22047664               23.59
       6.7                  30          2.22047664               28.94
       6.6                  30          2.22047664              35.585
       6.5                  30          2.22047664              43.655
       6.4                  30          2.22047664              53.475
       6.3                  30          2.22047664              65.475
       6.2                  30          2.22047664               80.17
       6.1                  30          2.22047664              98.005
         6                  30          2.22047664              119.83
       5.9                  30          2.22047664             146.395
       5.8                  30          2.22047664              178.74
       5.7                  30          2.22047664             218.365
       5.6                  30          2.22047664             266.785
       5.5                  30          2.22047664             325.835
        10                  60          2.22047664               -0.32
       9.7                  60          2.22047664              -0.325
       9.4                  60          2.22047664              -0.315
       9.1                  60          2.22047664              -0.275
         9                  60          2.22047664              -0.225
       8.9                  60          2.22047664              -0.125
       8.8                  60          2.22047664               -0.07
       8.7                  60          2.22047664                0.05
       8.6                  60          2.22047664               0.215
       8.5                  60          2.22047664               0.485
       8.4                  60          2.22047664               0.745
       8.3                  60          2.22047664               1.075
       8.1                  60          2.22047664                1.99
         8                  60          2.22047664               2.675
       7.9                  60          2.22047664               3.545
       7.8                  60          2.22047664               4.555
       7.7                  60          2.22047664               5.825
       7.6                  60          2.22047664                7.41
       7.5                  60          2.22047664               9.235
       7.4                  60          2.22047664               11.65
       7.3                  60          2.22047664               14.54
       7.2                  60          2.22047664               18.08
       7.1                  60          2.22047664              22.415
         7                  60          2.22047664              27.675
       6.9                  60          2.22047664               34.02
       6.8                  60          2.22047664              41.745
       6.7                  60          2.22047664               51.14
       6.6                  60          2.22047664              62.545
       6.5                  60          2.22047664              76.335
       6.4                  60          2.22047664              93.055
       6.3                  60          2.22047664              113.18
       6.2                  60          2.22047664             137.605
       6.1                  60          2.22047664              166.95
         6                  60          2.22047664             202.435
       5.9                  60          2.22047664             245.145
       5.8                  60          2.22047664             296.445
       5.7                  60          2.22047664             358.155
       5.6                  60          2.22047664             432.185
       5.5                  60          2.22047664               520.9
        10                  90          2.22047664               -2.89
       9.7                  90          2.22047664              -3.205
       9.4                  90          2.22047664              -3.515
       9.1                  90          2.22047664               -3.77
         9                  90          2.22047664               -3.84
       8.9                  90          2.22047664               -3.89
       8.8                  90          2.22047664              -3.915
       8.7                  90          2.22047664               -3.89
       8.6                  90          2.22047664              -3.895
       8.5                  90          2.22047664              -3.805
       8.4                  90          2.22047664              -3.675
       8.3                  90          2.22047664              -3.445
       8.1                  90          2.22047664              -2.775
         8                  90          2.22047664              -2.225
       7.9                  90          2.22047664               -1.54
       7.8                  90          2.22047664              -0.625
       7.7                  90          2.22047664                0.53
